year,value,count,std,predicted
1988.0,0.4750500000000001,5,0.0741034749522585,0.4744448157755141
1992.0,0.4546391303588884,28,0.12222643453503565,0.47337462721064894
1993.0,0.45663181089743593,32,0.11878975715434645,0.4731070800694326
1994.0,0.495165811965812,13,0.04355504634328626,0.47283953292821623
1995.0,0.4567122004357298,9,0.10524741562869101,0.472571985787
1997.0,0.463500462962963,15,0.07123351881628813,0.4720368915045673
1998.0,0.4849395116082706,41,0.11489458598369934,0.47176934436335105
1999.0,0.486516,25,0.07902769212258588,0.4715017972221347
2000.0,0.5006958480913026,44,0.10445913891973697,0.47123425008091835
2001.0,0.46789627626550184,48,0.07331813408290161,0.4709667029397021
2002.0,0.4774992591239394,23,0.07714749326778256,0.47069915579848576
2003.0,0.46029362467349805,79,0.0891576720780421,0.4704316086572694
2004.0,0.46664626916293583,108,0.07842868056406543,0.47016406151605317
2005.0,0.4609017916528541,143,0.08129391359497082,0.4698965143748368
2006.0,0.47276943491087253,473,0.09472641948207244,0.46962896723362046
2007.0,0.4670356829476806,203,0.08131924569739865,0.4693614200924042
2008.0,0.4622370579268742,165,0.07943866505814903,0.4690938729511879
2009.0,0.47701673075491297,134,0.07670614692485536,0.4688263258099715
2010.0,0.4693978485407878,179,0.0849189649668815,0.4685587786687553
2011.0,0.48218193102503676,120,0.09164490617684393,0.46829123152753893
2012.0,0.46871255522943495,249,0.09825993030253836,0.4680236843863226
2013.0,0.4765134698634699,52,0.11593723131098131,0.46775613724510634
2014.0,0.45050286668386363,154,0.07389648011457697,0.46748859010389
2015.0,0.4605473656444623,52,0.0849637187288492,0.46722104296267364
2016.0,0.46223897430452676,48,0.08507022779764858,0.4669534958214574
