umap_x,umap_y,dominant_episode
10.778316,1.7766632,EDR
10.552241,14.301542,EDR
7.024863,11.780025,EDR
0.91868955,11.679509,EDR
5.5206723,12.6208725,EDR
12.457396,15.540669,EDR
10.929331,2.9028323,CB
13.7648535,-1.1568846,CB
16.65935,0.9698284,EDR
5.8799114,4.604535,CB
13.534516,1.1490695,EDR
7.492434,-2.53123,PEP
10.637738,2.1933668,CB
8.531688,2.0954204,CB
13.336729,6.7513304,EDR
15.911454,5.6249394,EDR
8.432887,2.3244548,CB
-10.634007,-1.1904204,EDR
12.244824,1.1075016,EDR
0.8494193,12.240085,EDR
-10.064789,-0.40128177,EDR
6.1241693,10.206676,CB
13.392137,11.59416,EDR
3.0881622,4.8999524,CB
9.148605,9.175336,EDR
5.2120743,14.331584,EDR
5.372938,9.570537,CB
12.513625,13.39399,EDR
5.913102,2.5576396,CB
14.805599,14.468644,EDR
11.745367,0.6893856,CB
6.12809,2.4338343,CB
11.805395,10.330405,EDR
14.766687,9.215985,EDR
7.2000003,14.54385,EDR
12.737242,11.543445,EDR
0.43604383,13.703532,EDR
13.436946,9.858927,EDR
4.1529007,14.829148,EDR
8.356906,13.756481,EDR
3.004316,9.099159,CB
11.10558,1.4278492,CB
7.8460383,14.890042,EDR
10.307741,-3.774081,PEP
4.9129586,0.60619515,CB
8.008707,2.9908924,CB
-10.677838,-0.65446794,EDR
6.275645,14.977781,EDR
2.3572826,12.500205,EDR
14.166955,13.355091,EDR
16.949356,2.0587282,EDR
8.532768,5.6683855,CB
7.884678,11.045036,EDR
1.6562504,13.238681,EDR
1.1937073,6.732484,CB
5.94977,7.911522,CB
-11.021052,-1.3366139,EDR
6.316318,15.866082,EDR
17.316525,1.5814716,EDR
11.114071,2.629337,CB
1.6329188,12.018504,EDR
15.742797,2.0727715,EDR
18.947088,5.943836,EDR
5.5312376,11.088678,CB
3.8353608,5.113122,CB
11.513686,3.147545,CB
4.807386,11.183485,CB
7.4632063,13.447575,EDR
14.862683,6.002407,EDR
3.0745864,7.897781,CB
8.792863,15.248587,EDR
15.400736,5.5275497,EDR
16.825018,5.2088823,EDR
-10.737917,-1.2626271,EDR
15.030415,3.6645617,EDR
4.1279197,13.446677,EDR
15.759256,10.287232,EDR
8.798347,10.194163,EDR
2.1492863,9.409309,CB
7.505812,-2.4885032,PEP
1.1453594,14.410592,EDR
16.902237,0.47910318,EDR
17.20436,2.1505868,EDR
7.959812,10.438938,EDR
15.162277,2.246684,EDR
6.4546876,4.9835744,CB
15.259425,12.506692,EDR
-9.973802,-0.54385465,EDR
-11.166809,-0.9403318,EDR
9.568629,3.1632862,CB
6.518191,10.705885,CB
-0.04979327,11.439195,EDR
5.729107,2.2995498,CB
-10.561072,-0.8736049,EDR
17.315681,6.2595763,EDR
11.305548,9.640614,EDR
10.802518,13.190684,EDR
-11.190897,-0.48336712,EDR
5.970483,14.632704,EDR
8.5319605,2.0898452,CB
11.761633,2.8570895,EDR
8.391844,-2.0351682,CB
8.9623995,2.5642552,CB
4.9750996,-0.16507824,CB
9.511149,8.330009,EDR
4.735883,4.5014234,CB
16.83285,11.418104,EDR
9.331153,5.7071147,CB
9.220741,3.5813746,CB
11.322937,8.795437,EDR
8.121972,2.7873166,CB
11.382363,3.221152,EDR
10.177233,6.7905498,EDR
12.4560375,-0.437839,CB
15.890041,6.104996,EDR
12.145386,3.312348,EDR
14.721403,14.259712,EDR
6.07536,1.2419201,CB
8.974521,5.8656855,CB
7.266319,10.33144,CB
10.744108,5.0696254,CB
16.104153,12.33361,EDR
10.179923,10.248441,EDR
9.674402,0.8061406,CB
16.56403,4.401058,EDR
3.7005053,10.769552,CB
5.70571,11.733521,CB
10.074128,-0.3370504,CB
8.006885,13.42779,EDR
13.878397,11.178597,EDR
12.029413,4.9910026,EDR
5.422874,3.0141296,CB
17.956299,5.695545,EDR
12.926452,7.350002,EDR
2.829503,11.518937,EDR
5.4435143,6.8150916,CB
12.460988,6.3810067,EDR
11.689939,10.1004925,EDR
16.96899,10.98421,EDR
7.3346224,9.87191,CB
12.633294,14.5376,EDR
9.063242,12.276153,EDR
0.218521,10.185865,EDR
14.197639,-1.0806289,CB
7.90821,6.65565,CB
12.250266,13.696078,EDR
3.5682473,2.402707,CB
10.36631,14.464073,EDR
5.763906,15.465936,EDR
3.875491,1.8405195,CB
1.4421424,13.297821,EDR
3.7138824,10.345091,CB
3.9175668,3.3146534,CB
9.324745,15.220924,EDR
8.5655775,12.646286,EDR
9.581833,3.9757562,CB
-10.27071,-0.23519708,EDR
9.517096,12.03819,EDR
6.914584,7.1041775,CB
3.515135,15.061914,EDR
7.5401254,8.691993,CB
0.18921262,10.393492,EDR
14.154383,6.3654504,EDR
9.2677,-0.5915385,CB
16.603529,9.554406,EDR
11.507518,14.944692,EDR
7.758175,11.368746,EDR
-10.635415,-0.21038963,EDR
7.608547,8.7502365,CB
3.6692042,5.4808445,CB
18.837582,5.9480066,EDR
9.012451,-0.21542037,CB
12.943699,0.80658823,CB
10.840711,3.7252562,CB
5.8106923,15.595,EDR
16.308718,10.674618,EDR
8.512315,9.720688,EDR
4.3625913,2.9910126,CB
14.7619295,2.6762931,EDR
-10.839318,-0.5110258,EDR
14.529675,9.77298,EDR
9.652689,4.733652,CB
3.715476,7.5093412,CB
8.652095,12.397856,EDR
9.471122,2.6063752,CB
2.1333756,8.962052,CB
12.890243,1.2036943,EDR
3.574701,12.0695305,CB
4.04803,14.095173,EDR
10.8690195,9.107268,EDR
3.2184732,14.050723,EDR
5.4921827,13.276453,EDR
4.6930623,15.510029,EDR
3.1993344,2.7783442,CB
15.741039,9.807738,EDR
8.013466,12.479717,EDR
7.424894,4.365867,CB
-10.456823,-0.21822837,EDR
9.213649,15.552913,EDR
13.759378,6.113063,EDR
11.69821,13.431277,EDR
3.8316648,5.7032647,CB
13.527228,14.175634,EDR
4.1220636,12.910298,EDR
5.123901,-0.64364254,CB
2.9091492,14.786565,EDR
4.0227346,8.21197,CB
3.2738092,3.0698085,CB
15.538568,2.7210681,EDR
14.244897,7.369537,EDR
11.616503,0.33324814,CB
3.77901,14.190375,EDR
7.917995,15.591306,EDR
8.323198,1.2906997,CB
3.5236056,7.323208,CB
2.2722318,7.1939483,CB
10.235376,4.620122,CB
13.510573,11.883978,EDR
3.0274017,2.956004,CB
5.850136,8.317726,CB
9.199229,6.231106,CB
5.842896,4.108002,CB
17.40513,2.8325865,EDR
17.322624,0.9620473,EDR
11.727767,9.464148,EDR
17.655123,2.1047754,EDR
9.374747,8.609813,EDR
5.263465,9.090821,CB
6.946208,16.438211,EDR
13.08349,8.902743,EDR
2.725041,5.8962917,CB
4.670636,6.290734,CB
4.955432,11.61365,CB
7.3187876,3.6423566,CB
10.140123,6.5714493,CB
10.365876,16.003937,EDR
4.2578225,15.774632,EDR
6.218776,9.921802,CB
13.883104,5.736351,EDR
1.5085998,13.09876,EDR
5.712618,12.360129,EDR
-10.930331,-0.8256574,EDR
15.409492,11.709749,EDR
6.775838,2.8802178,CB
12.322402,3.9599051,EDR
1.4844644,8.404528,CB
7.051335,3.658645,CB
9.650405,10.533469,EDR
16.94726,4.8242016,EDR
1.3584267,12.751299,EDR
4.069807,8.693848,CB
14.454138,7.3411756,EDR
9.127282,-0.42793015,CB
5.424319,6.5679464,CB
11.273513,-0.8575027,CB
17.423496,9.45971,EDR
11.101804,7.0301933,EDR
6.1006,11.342406,EDR
11.138391,5.36252,CB
3.072109,7.0803466,CB
11.171544,14.035516,EDR
7.551879,7.7763686,CB
6.710783,6.2894073,CB
16.02305,12.105694,EDR
14.107008,10.63729,EDR
8.620819,-1.5352788,CB
12.626491,8.776714,EDR
5.8342633,13.920398,EDR
6.0821643,3.5462825,CB
9.635584,11.842684,EDR
8.012842,14.200692,EDR
3.7581012,13.482625,EDR
8.221779,4.7836466,CB
7.4837904,14.978143,EDR
3.8174412,10.322249,CB
9.330437,12.60563,EDR
11.046737,8.902246,EDR
3.459941,8.476102,CB
2.4746873,11.133395,CB
9.026588,15.80249,EDR
6.8659906,2.1835792,CB
12.155807,10.0968685,EDR
8.403954,11.965564,EDR
16.891224,2.6752849,EDR
3.7021346,2.4920392,CB
5.1800523,8.981971,CB
15.2763,9.91801,EDR
5.057063,0.0568782,CB
3.3703954,9.60443,CB
6.9106627,1.8467011,CB
9.412323,4.8210597,CB
2.7736528,15.04672,EDR
13.208964,3.4523783,EDR
7.8619294,13.893652,EDR
10.704868,7.6301107,EDR
6.224779,12.201774,EDR
4.155736,0.32505855,CB
8.697969,5.4276237,CB
6.029418,9.132393,CB
8.966903,7.530162,CB
13.898437,8.269404,EDR
13.328405,4.4746366,EDR
6.566924,15.238002,EDR
12.0226755,8.872843,EDR
10.479698,1.982151,CB
15.455548,1.2707651,EDR
3.681697,8.3178425,CB
5.5658855,11.099938,CB
12.504097,4.558876,EDR
17.074717,9.405918,EDR
10.770967,12.793341,EDR
7.58804,3.376724,CB
16.50524,6.0771174,EDR
5.863783,8.101797,CB
4.3006477,3.9235613,CB
