True,AIA,CB,EDR,FM,PEP,Unclassified
AIA,638,169,0,0,0,0
CB,26,120361,8444,0,263,0
EDR,20,8705,169764,0,0,0
FM,0,4,0,68,0,41
PEP,14,1088,0,0,5280,0
Unclassified,13,7366,7580,8,532,5611
