umap_x,umap_y,kmeans_cluster
10.778316,1.7766632,9
10.552241,14.301542,2
7.024863,11.780025,2
0.91868955,11.679509,5
5.5206723,12.6208725,2
12.457396,15.540669,2
10.929331,2.9028323,1
13.7648535,-1.1568846,4
16.65935,0.9698284,7
5.8799114,4.604535,1
13.534516,1.1490695,9
7.492434,-2.53123,3
10.637738,2.1933668,1
8.531688,2.0954204,1
13.336729,6.7513304,0
15.911454,5.6249394,9
8.432887,2.3244548,1
-10.634007,-1.1904204,5
12.244824,1.1075016,9
0.8494193,12.240085,5
-10.064789,-0.40128177,5
6.1241693,10.206676,8
13.392137,11.59416,0
3.0881622,4.8999524,8
9.148605,9.175336,0
5.2120743,14.331584,2
5.372938,9.570537,8
12.513625,13.39399,0
5.913102,2.5576396,1
14.805599,14.468644,2
11.745367,0.6893856,4
6.12809,2.4338343,1
11.805395,10.330405,0
14.766687,9.215985,0
7.2000003,14.54385,2
12.737242,11.543445,0
0.43604383,13.703532,5
13.436946,9.858927,0
4.1529007,14.829148,5
8.356906,13.756481,2
3.004316,9.099159,8
11.10558,1.4278492,1
7.8460383,14.890042,2
10.307741,-3.774081,3
4.9129586,0.60619515,6
8.008707,2.9908924,1
-10.677838,-0.65446794,5
6.275645,14.977781,2
2.3572826,12.500205,5
14.166955,13.355091,0
16.949356,2.0587282,7
8.532768,5.6683855,1
7.884678,11.045036,2
1.6562504,13.238681,5
1.1937073,6.732484,8
5.94977,7.911522,8
-11.021052,-1.3366139,5
6.316318,15.866082,2
17.316525,1.5814716,7
11.114071,2.629337,1
1.6329188,12.018504,5
15.742797,2.0727715,9
18.947088,5.943836,7
5.5312376,11.088678,8
3.8353608,5.113122,8
11.513686,3.147545,1
4.807386,11.183485,8
7.4632063,13.447575,2
14.862683,6.002407,9
3.0745864,7.897781,8
8.792863,15.248587,2
15.400736,5.5275497,9
16.825018,5.2088823,9
-10.737917,-1.2626271,5
15.030415,3.6645617,9
4.1279197,13.446677,5
15.759256,10.287232,0
8.798347,10.194163,2
2.1492863,9.409309,8
7.505812,-2.4885032,3
1.1453594,14.410592,5
16.902237,0.47910318,7
17.20436,2.1505868,7
7.959812,10.438938,2
15.162277,2.246684,9
6.4546876,4.9835744,1
