episode,type_token_ratio,metaphor_density,refrain_repetition_score,first_person_pronouns,avg_line_length,negation_count
AIA,0.443588,0.000129,0.124953,3.664519,5.452982,0.772299
CB,0.417382,0.006856,0.10666,15.23615,8.155023,2.394881
EDR,0.428049,0.006382,0.176798,14.808857,8.402412,2.093839
FM,0.404412,0.000139,0.21149,3.245583,5.518723,1.130742
PEP,0.436573,7.7e-05,0.119008,1.772847,6.737155,1.599693
Unclassified,0.375317,0.004459,0.147482,13.411817,6.481418,2.000379
