language,emotion_type,mean_value,sample_count
albanian,valence,0.24837378559880047,74
albanian,arousal,0.19024113675006818,74
albanian,dominance,0.4747735674497966,74
cebuano,valence,0.31288902397594665,578
cebuano,arousal,0.18325583354161584,578
cebuano,dominance,0.43526631491043416,578
croatian,valence,0.15821174187782244,1826
croatian,arousal,0.18640239062024228,1826
croatian,dominance,0.4261210028742788,1826
czech,valence,0.20153335758198054,183
czech,arousal,0.16025648880313728,183
czech,dominance,0.48174389234667925,183
danish,valence,0.11845800988316497,1626
danish,arousal,0.14801062015375882,1626
danish,dominance,0.480378451973833,1626
dutch,valence,0.08325240988568763,7011
dutch,arousal,0.08754376837792748,7011
dutch,dominance,0.41360103788833047,7011
english,valence,0.1710632535928369,784471
english,arousal,0.20662733281069728,784471
english,dominance,0.5045625192050913,784471
estonian,valence,0.18723690307571364,165
estonian,arousal,0.10409886087534514,165
estonian,dominance,0.41577680412477197,165
finnish,valence,0.238901677413381,5269
finnish,arousal,0.12961800866820294,5269
finnish,dominance,0.5175061505172821,5269
french,valence,0.22923399239510303,35738
french,arousal,0.13062590769420107,35738
french,dominance,0.4422330542445001,35738
german,valence,0.07537431236237598,33813
german,arousal,0.1581974473653771,33813
german,dominance,0.4039669577171948,33813
hausa,valence,0.3001298560410729,1119
hausa,arousal,0.17198818443760622,1119
hausa,dominance,0.47431084223481895,1119
hawaiian,valence,0.33840057407864477,228
hawaiian,arousal,0.21018753009214633,228
hawaiian,dominance,0.4767921362366797,228
hungarian,valence,0.1641405967795533,1100
hungarian,arousal,0.004023716087741634,1100
hungarian,dominance,0.42048110395099586,1100
icelandic,valence,0.14024802139999187,217
icelandic,arousal,0.10400361641060209,217
icelandic,dominance,0.4376218980520248,217
indonesian,valence,0.23856345838706225,979
indonesian,arousal,0.12577667076381838,979
indonesian,dominance,0.4538900435098356,979
italian,valence,0.22479905925576402,31035
italian,arousal,0.1068370812716225,31035
italian,dominance,0.4687274985341541,31035
latin,valence,0.24464095003476696,620
latin,arousal,0.15903357671208473,620
latin,dominance,0.5054350334419425,620
latvian,valence,0.1702852940841515,260
latvian,arousal,0.12298196985672516,260
latvian,dominance,0.40972823717170753,260
lithuanian,valence,0.13372902223989022,427
lithuanian,arousal,0.10074328322799671,427
lithuanian,dominance,0.42029355538478314,427
norwegian,valence,0.11476960333948732,2769
norwegian,arousal,0.12439638819153802,2769
norwegian,dominance,0.4761683161790052,2769
polish,valence,0.1863193823409688,6132
polish,arousal,0.2332007557646217,6132
polish,dominance,0.3993666043151183,6132
portuguese,valence,0.27127842696959786,24554
portuguese,arousal,0.09931480591927108,24554
portuguese,dominance,0.4728569428170965,24554
romanian,valence,0.21582450497663366,403
romanian,arousal,0.11204537975322433,403
romanian,dominance,0.43608573114354743,403
slovak,valence,0.16978979717994525,2448
slovak,arousal,0.13907878604209728,2448
slovak,dominance,0.46884316544617366,2448
slovene,valence,0.19686146489712003,456
slovene,arousal,0.19059271846255146,456
slovene,dominance,0.4633875759532314,456
somali,valence,0.35587671470003407,171
somali,arousal,0.1899936806085205,171
somali,dominance,0.4534059095199072,171
spanish,valence,0.2588202085628227,72335
spanish,arousal,0.14659901969845324,72335
spanish,dominance,0.430839533208076,72335
swahili,valence,0.29859184047289433,117
swahili,arousal,0.17894233697691816,117
swahili,dominance,0.47669665092052865,117
swedish,valence,0.08355671783208865,6189
swedish,arousal,0.10003770234210356,6189
swedish,dominance,0.4478643090999105,6189
tagalog,valence,0.30125833292738124,473
tagalog,arousal,0.18624700695908625,473
tagalog,dominance,0.42336858033992153,473
turkish,valence,0.11634961412174652,3202
turkish,arousal,0.13773621030707706,3202
turkish,dominance,0.41123954091597814,3202
welsh,valence,0.19969813008999915,142
welsh,arousal,0.1605629568366099,142
welsh,dominance,0.4702331121788527,142
