language,valence_mean,arousal_mean,dominance_mean,sample_count
albanian,0.24837378559880047,0.19024113675006818,0.4747735674497966,74
cebuano,0.31288902397594665,0.18325583354161584,0.43526631491043416,578
croatian,0.15821174187782244,0.18640239062024228,0.4261210028742788,1826
czech,0.20153335758198054,0.16025648880313728,0.48174389234667925,183
danish,0.11845800988316497,0.14801062015375882,0.480378451973833,1626
dutch,0.08325240988568763,0.08754376837792748,0.41360103788833047,7011
english,0.1710632535928369,0.20662733281069728,0.5045625192050913,784471
estonian,0.18723690307571364,0.10409886087534514,0.41577680412477197,165
finnish,0.238901677413381,0.12961800866820294,0.5175061505172821,5269
french,0.22923399239510303,0.13062590769420107,0.4422330542445001,35738
german,0.07537431236237598,0.1581974473653771,0.4039669577171948,33813
hausa,0.3001298560410729,0.17198818443760622,0.47431084223481895,1119
hawaiian,0.33840057407864477,0.21018753009214633,0.4767921362366797,228
hungarian,0.1641405967795533,0.004023716087741634,0.42048110395099586,1100
icelandic,0.14024802139999187,0.10400361641060209,0.4376218980520248,217
indonesian,0.23856345838706225,0.12577667076381838,0.4538900435098356,979
italian,0.22479905925576402,0.1068370812716225,0.4687274985341541,31035
latin,0.24464095003476696,0.15903357671208473,0.5054350334419425,620
latvian,0.1702852940841515,0.12298196985672516,0.40972823717170753,260
lithuanian,0.13372902223989022,0.10074328322799671,0.42029355538478314,427
norwegian,0.11476960333948732,0.12439638819153802,0.4761683161790052,2769
polish,0.1863193823409688,0.2332007557646217,0.3993666043151183,6132
portuguese,0.27127842696959786,0.09931480591927108,0.4728569428170965,24554
romanian,0.21582450497663366,0.11204537975322433,0.43608573114354743,403
slovak,0.16978979717994525,0.13907878604209728,0.46884316544617366,2448
slovene,0.19686146489712003,0.19059271846255146,0.4633875759532314,456
somali,0.35587671470003407,0.1899936806085205,0.4534059095199072,171
spanish,0.2588202085628227,0.14659901969845324,0.430839533208076,72335
swahili,0.29859184047289433,0.17894233697691816,0.47669665092052865,117
swedish,0.08355671783208865,0.10003770234210356,0.4478643090999105,6189
tagalog,0.30125833292738124,0.18624700695908625,0.42336858033992153,473
turkish,0.11634961412174652,0.13773621030707706,0.41123954091597814,3202
welsh,0.19969813008999915,0.1605629568366099,0.4702331121788527,142
