language,trend_value,emotion_type,sample_count
lithuanian,-0.007845752315058586,valence,427
slovene,-0.005704010718398596,valence,456
romanian,-0.004020523184229632,valence,403
swahili,-0.004009814046141099,valence,117
albanian,-0.0038075037007979863,valence,74
estonian,-0.003612956256251169,valence,165
croatian,-0.0013974909685033838,valence,1826
welsh,-0.0013865879447847182,valence,142
cebuano,-0.0012880402347298422,valence,578
hawaiian,-0.0011327145824653764,valence,228
english,-0.00106435100002568,valence,784471
latin,-0.0008876380609265289,valence,620
latvian,-0.0008186616898320093,valence,260
tagalog,-0.000757653294880595,valence,473
danish,-0.0006077659178265158,valence,1626
turkish,-0.00045607781428426284,valence,3202
slovak,-0.00043686974959577645,valence,2448
polish,-0.00037142101693193836,valence,6132
czech,-0.0003699571244357901,valence,183
spanish,-7.487086101095148e-05,valence,72335
hungarian,-6.02143774260756e-05,valence,1100
swedish,-3.649302462489552e-05,valence,6189
portuguese,2.3815325996904562e-05,valence,24554
italian,2.4708370618576144e-05,valence,31035
french,0.00015938750771115487,valence,35738
german,0.00032027690209457524,valence,33813
hausa,0.0004246581717183849,valence,1119
norwegian,0.0007621846384932338,valence,2769
dutch,0.000842034243215878,valence,7011
somali,0.0011167001429455165,valence,171
finnish,0.0011317328983050726,valence,5269
icelandic,0.00388999954598661,valence,217
indonesian,0.004567994487509534,valence,979
estonian,-0.009398521541984131,arousal,165
albanian,-0.008083175393507351,arousal,74
lithuanian,-0.004181554838163655,arousal,427
swahili,-0.0023033815680647165,arousal,117
romanian,-0.0018745171799463614,arousal,403
hungarian,-0.0018040643103004836,arousal,1100
cebuano,-0.001621071121804901,arousal,578
croatian,-0.0015182249272377448,arousal,1826
icelandic,-0.0013431413779132065,arousal,217
danish,-0.0013001456515464296,arousal,1626
hawaiian,-0.0010212646982917808,arousal,228
polish,-0.0006595703901296364,arousal,6132
latvian,-0.0005136887847778951,arousal,260
spanish,-0.00013886304504830181,arousal,72335
portuguese,-0.00011440916486680778,arousal,24554
slovak,-7.992620345867259e-05,arousal,2448
czech,-3.589816929273383e-05,arousal,183
hausa,-1.2343432002933084e-05,arousal,1119
swedish,8.232914547816367e-05,arousal,6189
french,0.00020635545552981452,arousal,35738
italian,0.00021503444593183108,arousal,31035
german,0.0002680160424416451,arousal,33813
tagalog,0.0003384378630498907,arousal,473
norwegian,0.00039340169787790486,arousal,2769
dutch,0.00047623669634199253,arousal,7011
turkish,0.00047624432116897636,arousal,3202
finnish,0.0005911809143655705,arousal,5269
english,0.000601805684712921,arousal,784471
latin,0.0006516199271066182,arousal,620
slovene,0.0007495659332899669,arousal,456
indonesian,0.0010211846630673975,arousal,979
somali,0.0011258791763824106,arousal,171
welsh,0.0016601481993754955,arousal,142
slovene,-0.004944718811583399,dominance,456
estonian,-0.004803288618201413,dominance,165
croatian,-0.002804196536206381,dominance,1826
swahili,-0.002386922028607553,dominance,117
lithuanian,-0.00228103132491231,dominance,427
welsh,-0.0011197589707995083,dominance,142
hungarian,-0.0008732635992485915,dominance,1100
latin,-0.0006350161329152996,dominance,620
tagalog,-0.0005813323755944328,dominance,473
cebuano,-0.0005283746759680896,dominance,578
albanian,-0.00047566319878585754,dominance,74
romanian,-0.00039342541363942754,dominance,403
slovak,-0.000381146680805433,dominance,2448
icelandic,-0.00024063210752340235,dominance,217
czech,-0.00010134149225389306,dominance,183
hawaiian,-8.219337319813077e-05,dominance,228
spanish,-5.763850596676456e-05,dominance,72335
portuguese,-5.4104679647596444e-05,dominance,24554
english,-2.2035302378832983e-05,dominance,784471
german,5.53826229976463e-05,dominance,33813
swedish,6.856041403317689e-05,dominance,6189
french,8.66786679371051e-05,dominance,35738
turkish,0.00010300183983388993,dominance,3202
danish,0.00019178298860134888,dominance,1626
italian,0.00020366493204099936,dominance,31035
dutch,0.0002477126080128373,dominance,7011
polish,0.00034258543784118785,dominance,6132
latvian,0.000379704239574643,dominance,260
hausa,0.00039237067904264336,dominance,1119
indonesian,0.000470561187425578,dominance,979
finnish,0.0005953018379639444,dominance,5269
norwegian,0.0006749401351142174,dominance,2769
somali,0.0045512548007193955,dominance,171
