language,valence_trend,arousal_trend,dominance_trend,sample_count
english,-0.00106435100002568,0.000601805684712921,-2.2035302378832983e-05,784471
spanish,-7.487086101095148e-05,-0.00013886304504830181,-5.763850596676456e-05,72335
french,0.00015938750771115487,0.00020635545552981452,8.66786679371051e-05,35738
german,0.00032027690209457524,0.0002680160424416451,5.53826229976463e-05,33813
italian,2.4708370618576144e-05,0.00021503444593183108,0.00020366493204099936,31035
portuguese,2.3815325996904562e-05,-0.00011440916486680778,-5.4104679647596444e-05,24554
dutch,0.000842034243215878,0.00047623669634199253,0.0002477126080128373,7011
swedish,-3.649302462489552e-05,8.232914547816367e-05,6.856041403317689e-05,6189
polish,-0.00037142101693193836,-0.0006595703901296364,0.00034258543784118785,6132
finnish,0.0011317328983050726,0.0005911809143655705,0.0005953018379639444,5269
turkish,-0.00045607781428426284,0.00047624432116897636,0.00010300183983388993,3202
norwegian,0.0007621846384932338,0.00039340169787790486,0.0006749401351142174,2769
slovak,-0.00043686974959577645,-7.992620345867259e-05,-0.000381146680805433,2448
croatian,-0.0013974909685033838,-0.0015182249272377448,-0.002804196536206381,1826
danish,-0.0006077659178265158,-0.0013001456515464296,0.00019178298860134888,1626
hausa,0.0004246581717183849,-1.2343432002933084e-05,0.00039237067904264336,1119
hungarian,-6.02143774260756e-05,-0.0018040643103004836,-0.0008732635992485915,1100
indonesian,0.004567994487509534,0.0010211846630673975,0.000470561187425578,979
latin,-0.0008876380609265289,0.0006516199271066182,-0.0006350161329152996,620
cebuano,-0.0012880402347298422,-0.001621071121804901,-0.0005283746759680896,578
tagalog,-0.000757653294880595,0.0003384378630498907,-0.0005813323755944328,473
slovene,-0.005704010718398596,0.0007495659332899669,-0.004944718811583399,456
lithuanian,-0.007845752315058586,-0.004181554838163655,-0.00228103132491231,427
romanian,-0.004020523184229632,-0.0018745171799463614,-0.00039342541363942754,403
latvian,-0.0008186616898320093,-0.0005136887847778951,0.000379704239574643,260
hawaiian,-0.0011327145824653764,-0.0010212646982917808,-8.219337319813077e-05,228
icelandic,0.00388999954598661,-0.0013431413779132065,-0.00024063210752340235,217
czech,-0.0003699571244357901,-3.589816929273383e-05,-0.00010134149225389306,183
somali,0.0011167001429455165,0.0011258791763824106,0.0045512548007193955,171
estonian,-0.003612956256251169,-0.009398521541984131,-0.004803288618201413,165
welsh,-0.0013865879447847182,0.0016601481993754955,-0.0011197589707995083,142
swahili,-0.004009814046141099,-0.0023033815680647165,-0.002386922028607553,117
albanian,-0.0038075037007979863,-0.008083175393507351,-0.00047566319878585754,74
